200922-949-52	\sqrt { \gamma }
KME2G3_30_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire015-equation002	f ( \alpha x _ { 1 } , \alpha x _ { 2 } ) = \alpha ^ { 4 } \times f ( x _ { 1 } , x _ { 2 } )
2009220-1327-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200922-949-173	T + \sin a ^ { M } \leq 4 . 4 5
200923-1556-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire008-equation055	( 1 3 1 + 7 7 ) / ( 6 1 + 2 1 + 1 4 ) \geq 1
200923-1553-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200924-1312-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire025-equation055	( 1 2 4 + 1 0 3 ) / ( ( 1 8 9 / 7 8 ) - 1 2 5 ) \leq - 1
MfrDB2035	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
formulaire035-equation056	\frac { \sin n } { n }
formulaire024-equation039	u _ { \beta } u ^ { \beta } = c ^ { 2 }
formulaire022-equation055	1 8 4 + 1 7 6 + 1 3 - 9 8 \leq 2 7 5
formulaire018-equation026	x ^ { 2 } + 4 x + 1
79_daniel	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
TrainData2_5_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
129_leissi	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
MfrDB3424	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
formulaire031-equation002	\lim \limits _ { x \rightarrow 0 } x ^ { x } = 1
MfrDB3221	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
TrainData2_3_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
200926-1617-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
118_alfonso	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire005-equation027	x x ^ { m } = x ^ { m + 1 }
KME2G3_23_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
2009220-1327-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
200923-1556-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
118_carlos	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
MfrDB1673	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
MfrDB1791	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
formulaire011-equation031	\frac { 2 ( n + \alpha ) } { n + 1 }
formulaire021-equation035	( ( 1 5 1 + 2 3 ) - ( 1 8 3 \times 1 2 6 ) ) + 1 5 3 = - 2 2 7 3 1
TrainData2_11_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire025-equation006	y _ { 2 } + y _ { 4 } = - \sqrt { z _ { 2 } }
200925-1126-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200923-1556-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire037-equation037	\sum \limits _ { i = 1 } ^ { p } n _ { i } = n
formulaire008-equation061	\sin ( - x ) = - \sin ( x )
TrainData2_22_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire020-equation065	1 4 0 - ( ( 1 7 5 + 1 6 ) / 1 6 8 ) \neq - 1 1 4
MfrDB2158	1 + \tan ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
formulaire038-equation058	( a _ { 1 } b _ { 2 } + a _ { 2 } b _ { 1 } + a _ { 3 } b _ { 4 } - a _ { 4 } b _ { 3 } ) ^ { 2 }
formulaire029-equation065	( ( 0 \div 5 ) - ( 4 0 \div 2 7 ) ) - 4 8 = - 4 9 . 4 8
formulaire013-equation010	( 1 7 5 \times 1 3 2 ) - 1 8 4 \leq 2 2 9 1 6
MfrDB2619	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
TrainData2_10_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire034-equation010	1 9 7 \times ( 4 7 + 1 3 0 + 1 + 1 2 3 ) \leq 5 9 2 9 7
TrainData2_18_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
116_hirata	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire013-equation040	( 1 7 5 \div ( 1 2 9 + 1 6 3 ) ) \div 2 8 \leq 0
75_david	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
TrainData2_20_sub_39	\sin x - \sin y - \sin ( x - y )
75_edwin	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
200923-131-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
2009210-947-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire002-equation032	n _ { 1 } + \ldots + n _ { j }
75_miguel	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
MfrDB1968	E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }
TrainData2_0_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
2009212-1031-19	\sum \limits _ { Y = M } ^ { P ^ { r } ( x ) } G + V
MfrDB2489	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
formulaire024-equation055	9 5 \pm 1 1 9 \times ( 1 8 7 \div ( 3 9 + 2 4 ) )
formulaire039-equation030	2 9 \div ( ( 1 6 3 \div 1 4 6 ) \div 1 0 4 ) \leq 2 7 0 1
75_leissi	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
formulaire027-equation015	( ( 1 4 5 / 1 3 5 ) + 1 7 2 ) \times 1 6 1 \leq 2 7 8 6 5
formulaire002-equation015	8 9 \times ( ( 1 5 5 \times 5 0 ) \div 1 3 2 ) \neq - 1 3 7 2
MfrDB0080	a _ { n + 1 } = a _ { n } - \frac { f ( a _ { n } ) } { f ^ { \prime } ( a _ { n } ) }
TrainData2_23_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
75_carlos	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
200922-947-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_15_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1256	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
MfrDB2831	s _ { n } = n \cdot \frac { x _ { 1 } + x _ { n } } { 2 }
MfrDB1790	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
formulaire022-equation017	n = \sum \limits _ { i = 1 } ^ { h } d _ { i } ^ { 2 }
formulaire020-equation071	\frac { f ( x ) } { x } = \sin \frac { 1 } { x }
200924-1312-32	a x ^ { 4 } + b x + c = 0
200923-1556-83	\frac { \cdots + Y _ { P } } { p ^ { I } }
MfrDB1972	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
108_carlos	a ^ { x } a ^ { y } = a ^ { x + y }
MfrDB3183	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
formulaire010-equation006	( x - x 3 ) ^ { 2 } + ( y - y 3 ) ^ { 2 } = r ^ { 2 }
formulaire026-equation025	( ( 7 2 \div 5 8 ) - ( 2 6 \div 1 6 6 ) ) \div 5 8 = 0 . 0 2
2009212-952-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire012-equation000	( ( 1 2 8 \times 8 2 ) \times 9 6 ) \times 1 7 = 1 7 1 2 9 4 7 2
formulaire021-equation020	( ( 5 1 \div 2 6 ) \times 1 4 3 ) + 7 9 \neq - 9 1
KME2G3_28_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire004-equation042	p _ { i , i + 1 } = 1 - p _ { i , i - 1 } = p
formulaire026-equation040	( 4 \times 1 5 7 ) \times 6 5 \neq 2 4 5 3 1
formulaire031-equation014	o ( x ^ { 2 n + 1 } ) = o ( x ^ { 2 n + 2 } )
TrainData2_13_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
MfrDB1015	( a + b ) ^ { 2 } = a ^ { 2 } + b ^ { 2 } + 2 a b
MfrDB2436	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
formulaire031-equation018	5 x - \frac { 1 } { 4 } x + \frac { 1 } { 4 } = 1
MfrDB1068	( a + b ) ^ { 2 } = a ^ { 2 } + 2 a b + b ^ { 2 }
TrainData1_7_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire006-equation055	1 0 6 \pm ( ( 8 9 - 1 5 ) / ( 1 9 6 + 7 4 ) ) - 1 0 4
KME2G3_22_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
79_david	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
MfrDB3392	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
formulaire003-equation017	f ( x ) = \sum \limits _ { n = 0 } ^ { \infty } w ^ { n } s ( 2 ^ { n } x )
200923-1556-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
formulaire025-equation008	6 ^ { 3 } + ( - 3 ) ^ { 3 } = 4 ^ { 3 } + 5 ^ { 3 }
TrainData2_13_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
TrainData2_23_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
TrainData2_4_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
200926-131-208	\sin ^ { F } \frac { V } { \mu i } ^ { v ( E ) }
79_leo	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
200922-949-227	\frac { p } { \sqrt { o - d + 4 } }
KME2G3_10_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
200922-1017-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200922-949-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire034-equation027	r = 0 , 4 + 0 , 3 \times 2 ^ { n - 1 }
formulaire021-equation006	a x ^ { 4 } + b x ^ { 2 } + c
TrainData1_5_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
formulaire029-equation058	y ^ { 2 } = x ^ { 3 } - 3 x + 2
form003-equation016	\forall x \in E \exists y \in E x R y
formulaire003-equation038	x ^ { 5 } + d x ^ { 2 } + e x + f
formulaire024-equation012	x ^ { 3 } + p x + q = 0
79_carlos	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
KME2G3_21_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire033-equation065	( 1 9 8 + 1 8 8 ) \times 1 5 8 \neq 2 5 1 2
200922-949-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
formulaire009-equation045	1 3 8 + 3 + 2 1 + 1 6 6 \leq 3 2 8
KME2G3_4_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
KME2G3_29_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
129_user0	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire020-equation045	1 3 1 \pm ( 1 7 2 \times ( 2 8 \times 5 9 ) ) + ( 7 3 + 6 1 )
formulaire009-equation015	1 5 \pm ( 1 2 - 1 0 - 2 9 ) \div 1 6 1
200922-949-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
TrainData1_3_sub_7	\tan z = \frac { \sin z } { \cos z }
KME2G3_13_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire019-equation010	1 4 5 \times ( ( 9 8 \times 5 4 ) + 1 9 8 ) \geq 7 9 6 0 4 9
formulaire010-equation059	a ^ { i j } = g ^ { i k } g ^ { j l } a _ { k l }
129_caue	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire034-equation060	( 1 4 1 - 1 9 + 9 6 - 7 1 ) \times ( 1 0 0 \times ( 1 5 \times 9 ) ) = 1 9 8 4 5 0 0
formulaire032-equation013	x _ { k + 1 } = x _ { k } + \alpha _ { k } s _ { k }
formulaire035-equation025	( ( 1 8 0 - 0 ) \times ( 1 0 8 + 5 5 ) ) \times 6 2 = 1 8 1 9 0 8 0
200923-1253-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_5_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire011-equation065	3 - ( ( 3 7 \div 1 5 ) - ( 1 8 9 - 1 1 7 ) ) \geq 7 2
KME2G3_30_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire008-equation025	( 7 2 \div 1 5 1 ) \div ( 1 0 \times 1 5 2 ) \leq 0
MfrDB0089	\cos x \leq \frac { \sin x } { x }
formulaire027-equation070	1 3 6 \times ( 8 0 \times 2 3 ) \leq 2 5 0 2 4 0
formulaire027-equation065	4 6 \pm 1 7 2 \div ( 3 6 \div ( 1 4 6 \div 1 4 9 ) )
formulaire004-equation033	x _ { 2 } = \frac { - 1 + i \sqrt { 7 } } { 2 }
200922-947-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
formulaire018-equation002	\forall x \in X , ( \alpha f ) ( x ) = \alpha f ( x )
76_danilo	a = b \cos C + c \cos B
MfrDB3379	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
118_edwin	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire020-equation002	j = - \frac { 1 } { 2 } + \frac { \sqrt { 3 } } { 2 } i
formulaire039-equation020	( ( 9 5 - 1 7 6 ) / ( 1 8 0 + 3 1 ) ) / ( 1 7 9 - 1 6 0 - 9 9 ) \leq 0
KME2G3_2_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
2009210-947-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_11_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire025-equation016	\beta _ { n } = \beta _ { 0 } + \frac { 2 n \pi } { d }
formulaire018-equation062	e v ( p ) = 1 0 \log ( \frac { p } { 1 - p } )
formulaire039-equation025	( ( 1 5 2 + 6 0 ) \div 5 1 ) \times 1 6 3 \neq - 4 2 0
200924-1331-89	\cdots + I - s
200923-131-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
TrainData2_1_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
TrainData2_2_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire030-equation013	f ( x ) = a x ^ { 2 } + b x + c
formulaire017-equation022	\frac { 3 p ^ { 2 } - 3 p + 1 } { p q }
2009212-952-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
formulaire014-equation029	\frac { 3 1 } { 5 0 } = \frac { t } { 1 0 0 }
formulaire016-equation073	x ^ { 2 } + x y - y ^ { 2 } = \pm 1
TrainData2_23_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire009-equation037	u _ { n } = u _ { n - 1 } + u _ { n - 2 }
MfrDB3238	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
formulaire008-equation014	( 1 + t ) ^ { n } = 1 + t n + o ( n )
formulaire023-equation022	\frac { p } { 1 - e } = a + c
formulaire017-equation020	( ( 1 3 \times 1 4 6 ) - 1 2 4 ) - 1 9 \geq 1 7 5 4
TrainData2_13_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire039-equation045	1 3 6 - 9 1 + 1 4 7 \geq - 1 0 2
MfrDB3085	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
KME2G3_19_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
76_Frank	a = b \cos C + c \cos B
200923-1254-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB1724	E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }
TrainData2_3_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB1823	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
formulaire033-equation033	r ^ { 2 } = x ^ { 2 } + y ^ { 2 }
formulaire024-equation029	h _ { 1 0 } ( t ) = t ^ { 3 } - 2 t ^ { 2 } + t
KME2G3_27_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
TrainData2_4_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire012-equation025	( ( 1 6 8 \times 7 3 ) - ( 1 8 9 \div 4 5 ) ) - 5 \neq - 7 9 2 2
MfrDB2932	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
TrainData2_8_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire037-equation006	8 y ^ { 4 } + 9 4 y ^ { 2 } - 4 9 = 0
formulaire002-equation069	z _ { n } = z - f ( x _ { 0 } + \ldots + x _ { n } )
formulaire034-equation072	\lim \limits _ { n } \sum \limits _ { k = 1 } ^ { n } b _ { k } = b
TrainData2_17_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire001-equation027	1 - e ^ { 2 } = \frac { p } { a }
formulaire017-equation015	6 0 - 7 2 + 5 9 + 9 5 \geq 1 4 1
MfrDB3026	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
formulaire037-equation073	X ^ { 4 } - 1 = ( X + i ) ( X - i ) ( X - 1 ) ( X + 1 )
KME2G3_4_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
MfrDB3207	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
TrainData2_3_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200923-131-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
75_herbert	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
formulaire005-equation000	( ( 1 5 \times 1 3 1 ) / 1 1 6 ) / ( ( 7 5 \times 2 2 ) - 1 6 9 ) \neq 0
formulaire023-equation020	1 8 1 \times ( ( 4 7 / 1 8 4 ) - 1 2 6 ) \neq 1 0 3 9
formulaire003-equation068	a = \frac { f ( x _ { 1 } ) - f ( x _ { 2 } ) } { x _ { 1 } - x _ { 2 } }
KME2G3_21_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire013-equation007	\pi = \frac { 2 a } { l p }
formulaire022-equation036	\cos ( 3 a ) = 4 \cos ^ { 3 } ( a ) - 3 \cos ( a )
79_user0	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
MfrDB1591	E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }
formulaire010-equation064	s = ( p _ { 1 } + p _ { 2 } ) ^ { 2 } = ( p _ { 3 } + p _ { 4 } ) ^ { 2 }
2009220-1327-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
TrainData1_5_sub_7	\tan z = \frac { \sin z } { \cos z }
TrainData1_3_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire037-equation055	( 1 8 7 + 1 5 3 + 2 2 ) + ( 2 7 / ( 1 5 4 + 1 8 3 ) ) \geq 3 6 1
formulaire004-equation054	1 s ^ { 2 } , 2 s ^ { 2 } , 2 p ^ { 6 } , 3 s ^ { 2 } , 3 p ^ { 2 }
formulaire005-equation010	( ( 3 1 \div 5 2 ) - ( 2 1 \div 1 2 0 ) ) \times 1 0 2 \geq 4 2
formulaire039-equation046	f ( x ) = \frac { x ^ { 2 } + 3 x - 4 } { 2 x ^ { 2 } - x - 1 }
KME2G3_27_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire009-equation050	9 6 \times ( 0 - 5 3 ) \geq - 5 0 8 8
formulaire008-equation060	( 1 7 6 + ( 1 1 5 \times 1 9 6 ) ) / 6 7 = 3 3 9 . 0 4
formulaire006-equation056	0 = \frac { d ^ { 2 } y } { d x ^ { 2 } }
KME2G3_5_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire013-equation013	e ^ { - \frac { 2 \pi i } { n } }
TrainData1_7_sub_7	\tan z = \frac { \sin z } { \cos z }
formulaire030-equation029	t \times n _ { a } = p \times n _ { b }
MfrDB3490	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
2009213-137-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire019-equation038	3 0 X ^ { 3 } - X ^ { 2 } - 6 1 X + 1 2 = 0
KME2G3_25_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
TrainData2_19_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB3024	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
129_carlos	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
KME2G3_3_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1506	\sin x = \sin ( x + 2 \pi k )
TrainData2_1_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire025-equation023	\pi = \frac { 2 \pi } { 2 }
200923-1556-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
KME2G3_1_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire010-equation034	( y _ { 1 } , \ldots , y _ { i - 1 } , y _ { i + 1 } , \ldots , y _ { n + 1 } )
TrainData2_19_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire011-equation071	a ( n ) = 3 a ( n - 1 ) + 4 a ( n - 2 )
formulaire034-equation067	5 4 ( u ^ { 3 } + v ^ { 3 } ) + ( 1 6 2 u v + 9 0 ) ( u + v ) + 9 5 = 0
200922-949-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire039-equation065	( 1 3 0 \times ( 1 2 5 \times 8 5 ) ) + 1 5 2 = 1 3 8 1 4 0 2
formulaire029-equation005	( ( 4 7 / 2 2 ) \times 1 0 9 ) \times ( 1 6 1 \times 6 ) = 2 2 4 9 4 6 . 2 7
MfrDB1530	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
formulaire010-equation042	r _ { s } ( t ) = \sqrt { ( x - x _ { s } ( t ) ) ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
TrainData2_14_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
79_maira	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire030-equation051	\alpha = \frac { n _ { e } } { n _ { e } + n _ { n } }
formulaire024-equation059	y ( x + k p ) = ( x + k p ) ^ { 2 } - n
formulaire007-equation020	1 7 9 \times ( ( 1 0 - 7 7 ) \times ( 2 1 + 1 0 2 ) ) \geq - 1 4 7 5 1 3 9
TrainData2_24_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
2009220-1327-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
129_david	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
TrainData1_0_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
118_caue	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire028-equation054	a _ { 1 } ^ { q } = ( x _ { 1 } n + b _ { 1 } ) ^ { q }
formulaire031-equation003	a x ^ { 3 } + b x ^ { 2 } + c x + d
TrainData2_1_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
118_Fabricio	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
200925-1126-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
2009212-952-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
MfrDB3013	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
formulaire030-equation072	z ^ { 1 } ( X ) = \sum \limits _ { i = 1 } ^ { n } x _ { i } p _ { i } ^ { 1 }
formulaire023-equation023	y ^ { 2 } = 1 - x ^ { 2 }
2009213-139-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
2009212-952-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB3224	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
formulaire013-equation032	\pi _ { 1 } , \ldots , \pi _ { g }
2009213-137-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
KME2G3_19_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire025-equation040	1 3 8 / ( ( 1 2 9 \times 9 5 ) - 8 9 ) \neq 0
KME2G3_8_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire030-equation058	x ^ { 3 } + x ^ { 2 } - 2 x - 1
TrainData1_1_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200924-1312-26	a + \frac { \sqrt { b + c } } { 2 }
MfrDB1432	\frac { b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
